First process instance # in stats,11
Last process instance # in stats,490

Resource utilization
Resource,Utilization %
Default Resource,QBP_DEFAULT_RESOURCE,0

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
A,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_fc761b8e-8531-48d2-a34d-0ad5e1883642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480
B,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_6912d91b-e7f9-4717-8b02-e7bdba972c0f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892
C,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_80646c66-eb60-4725-8c70-7003e948a8fe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892
D,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_348814ca-60ec-4267-b0c6-a491e702abcb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412
E,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_90e6d258-b90c-4832-abd1-e47795aec62c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412
EVENT 18 END,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_f1cdbb52-a80a-44c3-95e1-b70fa9ec09d6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164
EVENT 19 END,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_1196e68a-6a73-4fa6-b3f5-791ed8883a10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156
EVENT 20 END,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_37c930ef-a4e1-48ad-afe9-470668fc4d59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
EVENT 21 START,Id_85296890-732f-4648-bf7e-5a724ffb6db9.Id_a2ceb9a1-d355-42c7-a042-52b28d6cbb68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480
